,DFG question content,The most similar question in Horzon Europe,Score1,The second most similar question in Horzon Europe,Score2
0,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,What types and formats of data will the project generate or re-use?,0.5987924337387085,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.5410716533660889
1,What types and formats of data will the project generate or re-use?,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.7646735310554504,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6863775253295898
2,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.654097318649292,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6215037703514099
3,What is the expected size of the data that you intend to generate or re-use?,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.7225340604782104,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6025339365005493
4,"What is the origin/provenance of the data, either generated or re-used?",What types and formats of data will the project generate or re-use?,0.6975082755088806,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.5547918081283569
5,"To whom might your data be useful ('data utility'), outside your project?",Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6005151271820068,Will the data be accessible through a free and standardized access protocol?,0.5798777937889099
6,Will data be identified by a persistent identifier?,Will data be identified by a persistent identifier?,0.5508201122283936,What types and formats of data will the project generate or re-use?,0.5230916738510132
7,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",What is the expected size of the data that you intend to generate or re-use?,0.7031526565551758,"To whom might your data be useful ('data utility'), outside your project?",0.48591163754463196
8,Will search keywords be provided in the metadata to optimize the possibility for discovery and then potential re-use?,What is the expected size of the data that you intend to generate or re-use?,0.5733405947685242,Does the repository ensure that the data is assigned an identifier? Will the repository resolve the identifier to a digital object? ,0.5067451596260071
9,Will metadata be offered in such a way that it can be harvested and indexed? ,What is the expected size of the data that you intend to generate or re-use?,0.6452547311782837,Will the data be accessible through a free and standardized access protocol?,0.5444336533546448
