,DFG question content,The most similar question in Horzon Europe,Similarity Score 1,1st answer No.,The second most similar question in Horzon Europe,Similarity Score2,2nd answer No.
0,How does your project generate new data? ,Who will be responsible for data management in your project?,0.8078641891479492,38,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.7019199728965759,2
1,Is existing data reused? ,"What is the origin/provenance of the data, either generated or re-used?",0.7475594282150269,4,"Will your data be licensed using standard reuse licenses, in line with the obligations set out in the Grant Agreement?",0.6672574877738953,30
2,"Which data types (in terms of data formats like image data, text data or measurement data) arise in your project and in what way are they further processed? To what extent do these arise or what is the anticipated data volume?  ",What is the expected size of the data that you intend to generate or re-use?,0.665478527545929,3,Who will be responsible for data management in your project?,0.6530945301055908,38
3,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",Will metadata be offered in such a way that it can be harvested and indexed? ,0.7559722065925598,9,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.7003535032272339,7
4,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",Who will be responsible for data management in your project?,0.6193639039993286,38,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.5792950391769409,2
5,Which digital methods and tools (e.g. software) are required to use the data?  ,Will documentation or reference about any software be needed to access or read the data be included? ,0.599578320980072,21,Will it be possible to include the relevant software (e.g. in open source code)?,0.5945220589637756,22
6,How is the data to be stored and archived throughout the project duration? ,Will the data be safely stored in trusted repositories for long term preservation and curation?,0.7338728308677673,41,"How will long term preservation be ensured? Discuss the necessary resources to accomplish this (costs and potential value, who decides and how, what data will be kept and for how long)?",0.6928267478942871,39
7,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.7461991310119629,16,What provisions are or will be in place for data security (including data recovery as well as secure storage/archiving and transfer of sensitive data)?,0.6638967990875244,40
8,What are the legal specifics associated with the handling of research data in your project? ,Who will be responsible for data management in your project?,0.6484205722808838,38,Have you explored appropriate arrangements with the identified repository where your data will be deposited? ,0.5959953665733337,11
9,Do you anticipate any implications or restrictions regarding subsequent publication or accessibility? ,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.7028682827949524,16,"Will metadata be made openly available and licenced under a public domain dedication CC0, as per the Grant Agreement? If not, please clarify why. Will metadata contain information to enable the user to access the data?",0.53765869140625,19
10,What is in place to consider aspects of use and copyright law as well as ownership issues? ,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.5015594959259033,16,"Beneficiaries should consider which of the questions pertaining to FAIR data above, can apply to the management of other research outputs, and should strive to provide sufficient detail on how their research outputs will be managed and shared, or made available for re-use, in line with the FAIR principles.",0.4811391532421112,35
11,Are there any significant research codes or professional standards to be taken into account? ,"Are there, or could there be, any ethics or legal issues that can have an impact on data sharing? These can also be discussed in the context of the ethics review. If relevant, include references to ethics deliverables and ethics chapter in the Description of the Action (DoA).",0.46120485663414,42,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",0.4526105523109436,27
12,Which data sets are especially suitable for use in other contexts? ,"To whom might your data be useful ('data utility'), outside your project?",0.6350044012069702,5,"Further to the FAIR principles, DMPs should also address research outputs other than data, and should carefully consider aspects related to the allocation of resources, data security and ethical aspects.",0.5473662614822388,33
13,Which criteria are used to select research data to make it available for subsequent use by others? ,"Beneficiaries should consider which of the questions pertaining to FAIR data above, can apply to the management of other research outputs, and should strive to provide sufficient detail on how their research outputs will be managed and shared, or made available for re-use, in line with the FAIR principles.",0.6972708702087402,35,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",0.5939960479736328,27
14,"Are you planning to archive your data in a suitable infrastructure? If so, how and where? Are there any retention periods? ",Have you explored appropriate arrangements with the identified repository where your data will be deposited? ,0.7294319868087769,11,Will the data be safely stored in trusted repositories for long term preservation and curation?,0.7274408936500549,41
15,When is the research data available for use by third parties? ,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",0.6771941781044006,31,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",0.5717247128486633,27
16,Who is responsible for adequate handling of the research data (description of roles and responsibilities within the project)? ,Who will be responsible for data management in your project?,0.7258940935134888,38,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.6669094562530518,2
17,Which resources (costs; time or other) are required to implement adequate handling of research data within the project? ,"What will the costs be for making data or other research outputs FAIR in your project (e.g. direct and indirect costs related to storage, archiving, re-use, security, etc.) ?",0.7168712615966797,36,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.6460641026496887,2
18,Who is responsible for curating the data once the project has ended? ,Who will be responsible for data management in your project?,0.7634550333023071,38,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",0.7586285471916199,31
