,DFG question content,The most similar question in Horzon Europe,Similarity Score 1,1st answer No.,The second most similar question in Horzon Europe,Similarity Score2,2nd answer No.
0,How does your project generate new data? ,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.7181727290153503,2,What types and formats of data will the project generate or re-use?,0.7062696814537048,1
1,Is existing data reused? ,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.8294883966445923,0,"Will your data be licensed using standard reuse licenses, in line with the obligations set out in the Grant Agreement?",0.5817348957061768,30
2,"Which data types (in terms of data formats like image data, text data or measurement data) arise in your project and in what way are they further processed? To what extent do these arise or what is the anticipated data volume?  ",What types and formats of data will the project generate or re-use?,0.7216002941131592,1,"What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",0.6061250567436218,23
3,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ","What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",0.7736862897872925,23,"How will you provide documentation needed to validate data analysis and facilitate data re-use (e.g. readme files with information on methodology, codebooks, data cleaning, analyses, variable definitions, units of measurement, etc.)?",0.5994639992713928,28
4,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",Will the provenance of the data be thoroughly documented using the appropriate standards?,0.429087370634079,32,"Do you, or will you, make use of other national/funder/sectorial/departmental procedures for data management? If yes, which ones (please list and briefly describe them)?",0.38999947905540466,44
5,Which digital methods and tools (e.g. software) are required to use the data?  ,Will documentation or reference about any software be needed to access or read the data be included? ,0.6148117780685425,21,What types and formats of data will the project generate or re-use?,0.5948112607002258,1
6,How is the data to be stored and archived throughout the project duration? ,"How will long term preservation be ensured? Discuss the necessary resources to accomplish this (costs and potential value, who decides and how, what data will be kept and for how long)?",0.6116262674331665,39,What types and formats of data will the project generate or re-use?,0.6014930009841919,1
7,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.6959351897239685,16,What provisions are or will be in place for data security (including data recovery as well as secure storage/archiving and transfer of sensitive data)?,0.5852387547492981,40
8,What are the legal specifics associated with the handling of research data in your project? ,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",0.6012493371963501,31,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",0.5676055550575256,27
9,Do you anticipate any implications or restrictions regarding subsequent publication or accessibility? ,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.43076103925704956,16,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.4026203155517578,14
10,What is in place to consider aspects of use and copyright law as well as ownership issues? ,"Are there, or could there be, any ethics or legal issues that can have an impact on data sharing? These can also be discussed in the context of the ethics review. If relevant, include references to ethics deliverables and ethics chapter in the Description of the Action (DoA).",0.4286474287509918,42,"Will your data be licensed using standard reuse licenses, in line with the obligations set out in the Grant Agreement?",0.37167397141456604,30
11,Are there any significant research codes or professional standards to be taken into account? ,Will the provenance of the data be thoroughly documented using the appropriate standards?,0.5912673473358154,32,"Further to the FAIR principles, DMPs should also address research outputs other than data, and should carefully consider aspects related to the allocation of resources, data security and ethical aspects.",0.47053301334381104,33
12,Which data sets are especially suitable for use in other contexts? ,"To whom might your data be useful ('data utility'), outside your project?",0.6077701449394226,5,"What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",0.5952423810958862,23
13,Which criteria are used to select research data to make it available for subsequent use by others? ,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",0.5552794933319092,27,"In addition to the management of data, beneficiaries should also consider and plan for the management of other research outputs that may be generated or re-used throughout their projects. Such outputs can be either digital (e.g. software, workflows, protocols, models, etc.) or physical (e.g. new materials, antibodies, reagents, samples, etc.).",0.524364709854126,34
14,"Are you planning to archive your data in a suitable infrastructure? If so, how and where? Are there any retention periods? ","How will long term preservation be ensured? Discuss the necessary resources to accomplish this (costs and potential value, who decides and how, what data will be kept and for how long)?",0.7069970369338989,39,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6189532279968262,0
15,When is the research data available for use by third parties? ,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",0.6220384836196899,31,Will your data be made freely available in the public domain to permit the widest re-use possible? ,0.5343170166015625,29
16,Who is responsible for adequate handling of the research data (description of roles and responsibilities within the project)? ,Who will be responsible for data management in your project?,0.7589712142944336,38,"To whom might your data be useful ('data utility'), outside your project?",0.563571572303772,5
17,Which resources (costs; time or other) are required to implement adequate handling of research data within the project? ,"What will the costs be for making data or other research outputs FAIR in your project (e.g. direct and indirect costs related to storage, archiving, re-use, security, etc.) ?",0.6452532410621643,36,"In addition to the management of data, beneficiaries should also consider and plan for the management of other research outputs that may be generated or re-used throughout their projects. Such outputs can be either digital (e.g. software, workflows, protocols, models, etc.) or physical (e.g. new materials, antibodies, reagents, samples, etc.).",0.5486660003662109,34
18,Who is responsible for curating the data once the project has ended? ,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",0.6983522176742554,31,Who will be responsible for data management in your project?,0.6875728964805603,38
