,DFG question content,The most similar question in Horzon Europe,Similarity Score 1,1st answer No.,The second most similar question in Horzon Europe,Similarity Score2,2nd answer No.
0,How does your project generate new data? ,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.6910361647605896,2,What types and formats of data will the project generate or re-use?,0.6795347929000854,1
1,Is existing data reused? ,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6330203413963318,0,Will informed consent for data sharing and long term preservation be included in questionnaires dealing with personal data?,0.5423163771629333,43
2,"Which data types (in terms of data formats like image data, text data or measurement data) arise in your project and in what way are they further processed? To what extent do these arise or what is the anticipated data volume?  ",What types and formats of data will the project generate or re-use?,0.7030933499336243,1,"What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",0.6170638799667358,23
3,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ","What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",0.717453122138977,23,"How will you provide documentation needed to validate data analysis and facilitate data re-use (e.g. readme files with information on methodology, codebooks, data cleaning, analyses, variable definitions, units of measurement, etc.)?",0.6042349934577942,28
4,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",Will the provenance of the data be thoroughly documented using the appropriate standards?,0.6048088669776917,32,"What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",0.5970215797424316,23
5,Which digital methods and tools (e.g. software) are required to use the data?  ,"What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",0.6575396060943604,23,Will documentation or reference about any software be needed to access or read the data be included? ,0.6375255584716797,21
6,How is the data to be stored and archived throughout the project duration? ,How long will the data remain available and findable? Will metadata be guaranteed to remain available after data is no longer available?,0.5746572613716125,20,Will the data be safely stored in trusted repositories for long term preservation and curation?,0.5678210258483887,41
7,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,What provisions are or will be in place for data security (including data recovery as well as secure storage/archiving and transfer of sensitive data)?,0.7021041512489319,40,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.6804589033126831,16
8,What are the legal specifics associated with the handling of research data in your project? ,"Beneficiaries should consider which of the questions pertaining to FAIR data above, can apply to the management of other research outputs, and should strive to provide sufficient detail on how their research outputs will be managed and shared, or made available for re-use, in line with the FAIR principles.",0.5909143686294556,35,Who will be responsible for data management in your project?,0.575827419757843,38
9,Do you anticipate any implications or restrictions regarding subsequent publication or accessibility? ,"Will you openly publish the generated ontologies or vocabularies to allow reusing, refining or extending them?",0.5682845711708069,26,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.4794454276561737,16
10,What is in place to consider aspects of use and copyright law as well as ownership issues? ,"Are there, or could there be, any ethics or legal issues that can have an impact on data sharing? These can also be discussed in the context of the ethics review. If relevant, include references to ethics deliverables and ethics chapter in the Description of the Action (DoA).",0.5354821681976318,42,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.5073297023773193,7
11,Are there any significant research codes or professional standards to be taken into account? ,Will the provenance of the data be thoroughly documented using the appropriate standards?,0.5921307802200317,32,"In addition to the management of data, beneficiaries should also consider and plan for the management of other research outputs that may be generated or re-used throughout their projects. Such outputs can be either digital (e.g. software, workflows, protocols, models, etc.) or physical (e.g. new materials, antibodies, reagents, samples, etc.).",0.5302643179893494,34
12,Which data sets are especially suitable for use in other contexts? ,"What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",0.5776422619819641,23,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",0.5667171478271484,27
13,Which criteria are used to select research data to make it available for subsequent use by others? ,"Beneficiaries should consider which of the questions pertaining to FAIR data above, can apply to the management of other research outputs, and should strive to provide sufficient detail on how their research outputs will be managed and shared, or made available for re-use, in line with the FAIR principles.",0.7022504806518555,35,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",0.6373865604400635,27
14,"Are you planning to archive your data in a suitable infrastructure? If so, how and where? Are there any retention periods? ",Will the data be safely stored in trusted repositories for long term preservation and curation?,0.6219251155853271,41,What provisions are or will be in place for data security (including data recovery as well as secure storage/archiving and transfer of sensitive data)?,0.5619375705718994,40
15,When is the research data available for use by third parties? ,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",0.6863488554954529,31,"Beneficiaries should consider which of the questions pertaining to FAIR data above, can apply to the management of other research outputs, and should strive to provide sufficient detail on how their research outputs will be managed and shared, or made available for re-use, in line with the FAIR principles.",0.5779646039009094,35
16,Who is responsible for adequate handling of the research data (description of roles and responsibilities within the project)? ,Who will be responsible for data management in your project?,0.7507073879241943,38,"Beneficiaries should consider which of the questions pertaining to FAIR data above, can apply to the management of other research outputs, and should strive to provide sufficient detail on how their research outputs will be managed and shared, or made available for re-use, in line with the FAIR principles.",0.6201876401901245,35
17,Which resources (costs; time or other) are required to implement adequate handling of research data within the project? ,"What will the costs be for making data or other research outputs FAIR in your project (e.g. direct and indirect costs related to storage, archiving, re-use, security, etc.) ?",0.7018215656280518,36,"In addition to the management of data, beneficiaries should also consider and plan for the management of other research outputs that may be generated or re-used throughout their projects. Such outputs can be either digital (e.g. software, workflows, protocols, models, etc.) or physical (e.g. new materials, antibodies, reagents, samples, etc.).",0.6702814102172852,34
18,Who is responsible for curating the data once the project has ended? ,Who will be responsible for data management in your project?,0.7268785238265991,38,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",0.6648405194282532,31
